Layer,Exact_Mean,Synonym_Mean,Antonym_Mean,Negation_Mean
0,1.0000001192092896,1.0000001192092896,1.0000001192092896,1.0000001192092896
1,1.0000000238418578,0.999640291929245,0.9994189023971558,0.996506142616272
2,0.9999999940395355,0.9990395903587341,0.998687618970871,0.9966947495937347
3,0.9999999880790711,0.9991492331027985,0.9988723158836365,0.9970110058784485
4,0.9999999761581421,0.9977725327014924,0.9977133750915528,0.9968175172805787
5,0.9999999344348908,0.9964623093605042,0.9960944831371308,0.9945277035236358
6,0.9999999642372132,0.994262182712555,0.9928137838840485,0.987302827835083
7,0.9999999403953552,0.9850880682468415,0.9808631658554077,0.969322919845581
8,0.9999999642372132,0.9847116768360138,0.9810963451862336,0.9660174310207367
9,1.000000011920929,0.9759324014186859,0.9667654991149902,0.9326022148132325
10,1.0,0.9737922310829162,0.9585752546787262,0.9242634356021882
11,1.000000011920929,0.9659807980060577,0.94156773686409,0.9111468017101287
12,1.000000035762787,0.9815352976322174,0.9645138680934906,0.958057415485382
